SIC07 description	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Water transport	271	290	310	305	315	388	413	420	362	351	343	265	288	347	326	325	280	222	201	185
Air transport	35	34	33	41	41	69	67	68	78	89	109	89	94	121	136	147	150	159	156	148
Warehousing and transport support activities	121	149	188	182	163	146	155	154	131	149	150	164	146	152	142	149	189	199	198	212
Postal and courier activities	169	162	184	206	211	306	350	243	232	231	192	156	163	168	160	146	86	74	66	76
Transportation and storage	1,219	1,220	1,361	1,429	1,403	1,566	1,727	1,594	1,581	1,655	1,648	1,551	1,517	1,562	1,498	1,510	1,552	1,585	1,567	1,601
Accommodation	136	156	146	170	174	194	203	229	227	230	199	186	217	222	217	224	236	248	247	237
Food and beverage service activities	552	620	644	681	688	771	769	834	895	921	932	845	718	666	721	681	718	784	780	851
Accommodation and food service activities	678	766	778	840	851	953	962	1,053	1,108	1,136	1,108	1,011	932	887	937	906	955	1,032	1,028	1,088
Publishing activities	214	210	201	218	222	235	228	207	218	211	189	158	135	132	130	116	95	83	73	65
Motion picture, video and TV programme production	46	42	45	38	42	49	44	47	37	34	29	28	30	36	46	56	51	54	50	41
Programming and broadcasting activities	56	55	68	81	79	98	109	110	100	94	101	90	79	93	54	55	57	53	47	46
Telecommunications	148	211	269	297	311	327	301	309	329	371	376	430	431	436	477	457	407	420	377	404
Computer programming and consultancy	51	105	162	194	176	196	212	216	246	304	283	282	289	322	435	444	448	524	609	690
Information service activities	13	16	19	16	18	17	10	11	11	10	18	6	8	8	8	9	10	11	12	13
Information and communication	452	569	700	779	781	855	844	849	879	960	940	933	914	978	1,112	1,111	1,053	1,135	1,169	1,258
Financial service activities	453	541	534	558	608	744	763	804	824	931	1,045	1,073	866	772	727	1,092	923	875	975	1,190
Insurance and pension funding	276	221	224	266	283	248	293	327	357	282	309	329	326	342	349	271	353	365	392	328
Activities auxiliary to finance and insurance	197	145	171	189	198	225	232	183	209	218	192	198	193	204	237	184	188	165	158	149
Financial and insurance activities	860	883	901	973	1,047	1,206	1,264	1,295	1,366	1,432	1,555	1,608	1,382	1,303	1,294	1,536	1,456	1,406	1,525	1,667
Real estate activities, excluding imputed rental	895	870	868	916	869	916	987	1,093	1,160	1,192	916	930	1,017	1,068	1,101	1,058	1,077	1,129	1,167	1,232
